Order ID,Order Date,ProductID,Quantity Ordered,customer_id
177831,04/01/2019 3:09,66,1,17
177687,04/01/2019 4:12,46,1,50
186754,04/01/2019 5:06,12,1,94
185103,04/01/2019 5:18,47,1,80
191585,04/01/2019 5:58,38,1,20
189813,04/01/2019 6:02,81,1,85
186650,04/01/2019 6:11,2,1,55
178407,04/01/2019 6:14,17,1,45
184067,04/01/2019 6:18,95,1,67
192285,04/01/2019 6:23,86,1,23
193992,04/01/2019 6:27,75,1,27
181561,04/01/2019 6:42,80,1,82
182960,04/01/2019 6:47,45,1,4
189270,04/01/2019 6:59,4,1,12
189001,04/01/2019 7:01,34,1,2
186297,04/01/2019 7:01,85,1,48
181552,04/01/2019 7:06,66,1,69
186576,04/01/2019 7:08,52,1,67
191788,04/01/2019 7:17,15,1,37
182666,04/01/2019 7:17,19,1,76
193621,04/01/2019 7:21,4,1,64
189256,04/01/2019 7:27,76,1,75
176831,04/01/2019 7:39,53,1,53
189152,04/01/2019 7:40,6,1,66
181016,04/01/2019 7:42,100,1,71
176603,04/01/2019 7:46,27,1,34
180520,04/01/2019 7:46,30,1,54
193823,04/01/2019 7:49,22,1,82
187999,04/01/2019 7:51,88,1,59
183822,04/01/2019 7:54,59,1,100
178720,04/01/2019 7:55,25,2,36
184775,04/01/2019 7:57,78,1,76
177219,04/01/2019 7:59,19,1,65
177553,04/01/2019 8:00,32,1,78
180221,04/01/2019 8:00,80,1,32
184548,04/01/2019 8:02,13,1,54
179069,04/01/2019 8:06,66,1,4
193851,04/01/2019 8:09,83,1,55
180003,04/01/2019 8:15,70,1,31
188535,04/01/2019 8:18,27,1,36
183517,04/01/2019 8:23,11,1,61
186362,04/01/2019 8:24,6,1,87
186362,04/01/2019 8:24,15,1,35
192696,04/01/2019 8:32,7,1,31
180711,04/01/2019 8:37,29,1,32
191947,04/01/2019 8:38,73,1,61
187228,04/01/2019 8:38,69,1,74
177130,04/01/2019 8:43,98,1,52
191334,04/01/2019 8:46,44,1,60
181218,04/01/2019 8:51,89,1,95
177712,04/01/2019 8:53,30,1,61
186564,04/01/2019 9:00,30,1,26
183983,04/01/2019 9:00,33,1,26
183201,04/01/2019 9:01,101,1,72
184738,04/01/2019 9:01,55,3,91
186090,04/01/2019 9:04,51,1,28
181217,04/01/2019 9:10,78,1,76
187559,04/01/2019 9:12,16,1,69
176743,04/01/2019 9:17,52,1,63
177668,04/01/2019 9:20,18,1,8
185014,04/01/2019 9:22,81,1,55
185539,04/01/2019 9:25,46,1,42
181460,04/01/2019 9:26,50,1,78
178715,04/01/2019 9:28,56,1,79
182961,04/01/2019 9:31,85,2,7
188101,04/01/2019 9:32,23,1,38
192261,04/01/2019 9:35,82,1,3
187534,04/01/2019 9:39,67,1,31
187534,04/01/2019 9:39,68,1,16
177739,04/01/2019 9:39,71,1,86
182763,04/01/2019 9:43,45,1,35
189144,04/01/2019 9:43,5,1,68
182639,04/01/2019 9:43,46,1,52
189504,04/01/2019 9:46,57,1,54
179454,04/01/2019 9:48,80,1,29
185223,04/01/2019 9:52,34,1,8
185279,04/01/2019 9:52,96,1,25
187068,04/01/2019 9:56,61,1,80
181734,04/01/2019 9:56,30,1,19
185601,04/01/2019 9:58,65,1,98
185606,04/01/2019 9:59,94,1,88
189474,04/01/2019 10:00,71,1,15
186785,04/01/2019 10:00,45,1,78
189314,04/01/2019 10:02,4,1,83
188230,04/01/2019 10:05,35,1,54
190973,04/01/2019 10:08,12,1,72
178217,04/01/2019 10:09,93,5,3
189489,04/01/2019 10:12,43,1,52
177868,04/01/2019 10:17,42,1,4
188269,04/01/2019 10:17,24,1,69
188269,04/01/2019 10:17,15,1,7
185041,04/01/2019 10:18,31,1,26
188618,04/01/2019 10:18,47,1,7
177554,04/01/2019 10:21,17,1,20
180356,04/01/2019 10:22,96,1,67
190846,04/01/2019 10:23,65,1,81
189674,04/01/2019 10:23,87,2,72
177316,04/01/2019 10:25,33,1,63
193252,04/01/2019 10:26,18,1,24
187689,04/01/2019 10:27,43,1,13
184054,04/01/2019 10:31,34,1,100
184054,04/01/2019 10:31,63,1,51
184559,04/01/2019 10:34,25,1,98
184275,04/01/2019 10:34,27,1,88
183505,04/01/2019 10:35,31,1,49
191042,04/01/2019 10:36,25,1,25
193619,04/01/2019 10:36,37,1,6
188522,04/01/2019 10:36,24,1,15
191042,04/01/2019 10:36,25,1,48
181183,04/01/2019 10:39,90,2,59
183899,04/01/2019 10:40,100,1,33
186439,04/01/2019 10:41,87,1,7
181718,04/01/2019 10:42,75,1,42
189887,04/01/2019 10:43,99,2,49
185962,04/01/2019 10:48,12,1,91
182408,04/01/2019 10:48,63,1,93
180517,04/01/2019 10:48,84,1,33
188365,04/01/2019 10:51,94,1,1
188515,04/01/2019 10:51,3,1,61
177881,04/01/2019 10:52,98,1,92
176722,04/01/2019 10:57,63,1,37
193989,04/01/2019 10:57,19,2,78
191809,04/01/2019 10:57,96,1,61
177513,04/01/2019 11:00,46,1,41
186696,04/01/2019 11:01,84,1,53
186047,04/01/2019 11:04,30,2,16
189776,04/01/2019 11:04,73,1,33
180818,04/01/2019 11:05,42,1,13
179717,04/01/2019 11:09,37,1,6
189210,04/01/2019 11:11,57,1,55
191691,04/01/2019 11:17,92,1,95
177611,04/01/2019 11:19,71,1,11
178104,04/01/2019 11:20,92,1,52
189793,04/01/2019 11:20,19,1,67
186159,04/01/2019 11:21,84,1,42
182801,04/01/2019 11:21,4,1,56
182520,04/01/2019 11:24,37,2,7
181965,04/01/2019 11:25,12,2,65
191161,04/01/2019 11:26,24,3,52
185581,04/01/2019 11:28,28,1,8
178175,04/01/2019 11:28,28,1,90
181903,04/01/2019 11:28,52,2,4
176981,04/01/2019 11:29,21,1,58
192349,04/01/2019 11:29,45,1,92
193698,04/01/2019 11:30,84,1,71
190434,04/01/2019 11:30,88,1,35
193611,04/01/2019 11:30,100,1,56
190624,04/01/2019 11:36,95,1,9
177176,04/01/2019 11:36,42,1,72
193679,04/01/2019 11:37,37,1,42
190878,04/01/2019 11:38,62,1,56
181423,04/01/2019 11:42,36,1,33
181915,04/01/2019 11:42,64,1,80
182214,04/01/2019 11:43,55,1,36
193641,04/01/2019 11:46,89,1,39
187423,04/01/2019 11:49,59,1,98
187423,04/01/2019 11:49,83,1,58
193201,04/01/2019 11:50,90,1,38
176677,04/01/2019 11:50,64,1,44
189487,04/01/2019 11:50,53,1,33
187787,04/01/2019 11:52,54,1,13
182939,04/01/2019 11:53,17,1,20
191865,04/01/2019 11:58,100,1,86
181761,04/01/2019 11:58,46,2,57
180015,04/01/2019 11:59,76,1,63
30308,04/01/2019 12:00,101,1,61
183225,04/01/2019 12:02,10,1,12
181666,04/01/2019 12:05,76,1,18
191850,04/01/2019 12:06,83,1,88
188166,04/01/2019 12:06,54,1,62
179762,04/01/2019 12:12,68,1,82
193015,04/01/2019 12:13,68,1,29
179337,04/01/2019 12:15,101,1,77
191245,04/01/2019 12:18,22,1,15
184190,04/01/2019 12:21,19,1,96
190874,04/01/2019 12:21,74,2,70
181491,04/01/2019 12:23,41,1,56
190187,04/01/2019 12:24,87,1,33
